City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
595,Guanagazapa,GT,81.46,overcast clouds,14.2253,-90.6433,El Ranchon de Nicho
598,Pangai,TO,75.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
599,Bowen,AU,75.42,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
600,Flinders,AU,69.19,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
601,Le Marin,MQ,81.72,few clouds,14.4721,-60.8697,Résidence des îles
605,Charlestown,AU,69.93,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
606,Jiuquan,CN,81.0,clear sky,39.7432,98.5174,Jiuquan Hotel
608,Tateyama,JP,71.62,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
611,Vaitape,PF,78.55,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
613,Emerald,AU,75.34,clear sky,-23.5333,148.1667,The Irish Village
614,Bambanglipuro,ID,81.82,few clouds,-7.95,110.2833,Puri Brata
615,Pasni,PK,78.93,overcast clouds,25.2631,63.471,Kashmiri Hotal
620,Kananga,CD,71.17,clear sky,-5.8958,22.4178,Guest House Wood Land
622,Bontang,ID,82.06,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
623,Sibu,MY,77.31,light rain,2.3,111.8167,RH HOTEL (4 Star)
626,San Carlos Del Zulia,VE,77.5,scattered clouds,9.0,-71.9135,Hotel El Manantial
628,Dwarka,IN,80.37,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
629,Jiutai,CN,75.54,overcast clouds,44.1525,125.8328,Jinhua Restaurant
631,Khvorostyanka,RU,70.36,overcast clouds,52.6096,48.9597,Gostinitsa Nedorogo
632,Yerakion,GR,73.29,clear sky,37.0,22.7,Xenonas Nikia
633,Siderno,IT,82.58,clear sky,38.2779,16.302,Grand Hotel President
639,Salinopolis,BR,77.4,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
641,Abrau-Dyurso,RU,69.26,overcast clouds,44.69,37.59,Avgustin Inn
643,Catole Do Rocha,BR,75.65,broken clouds,-6.3439,-37.7467,"Berço da Civilização Ocidental, Epicentro da Terra, Origem de Toda a Cultura Asteca, Inca, Maia, Pigmeu"
645,Nouakchott,MR,78.73,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
649,Makasar,ID,82.45,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
